Any,16.00-73.00,duly-till-now,radio-tv,250.00-18425.00,Any,seven-years,2.00,married-male,none,4.00,building-society,29.00,none,rent,1.00,skilled,1.00,no,yes,good.
Any,16.00-73.00,duly-till-now,radio-tv,250.00-18425.00,Any,one-year,4.00,female-divorced,none,2.00,real-estate,21.00,none,rent,1.00,skilled,1.00,no,yes,good.
less-200DM,16.00-73.00,duly-till-now,furniture,250.00-18425.00,Any,four-years,1.00,female-divorced,none,4.00,building-society,48.00,none,own,1.00,unskilled-resident,1.00,no,yes,good.
0DM,4.00-16.00,duly-till-now,education,250.00-18425.00,Any,four-years,4.00,female-divorced,none,4.00,building-society,23.00,bank,rent,1.00,skilled,1.00,no,yes,good.
Any,4.00-16.00,duly-till-now,radio-tv,250.00-18425.00,Any,seven-years,4.00,single-male,none,2.00,car,31.00,none,rent,2.00,management,2.00,no,yes,good.
Any,4.00-16.00,Any,radio-tv,250.00-18425.00,Any,four-years,4.00,female-divorced,none,2.00,building-society,35.00,none,own,2.00,skilled,1.00,yes,yes,good.
0DM,4.00-16.00,duly-till-now,new-car,250.00-18425.00,Any,unemployed,1.00,single-male,none,4.00,none,22.00,none,free,1.00,skilled,1.00,yes,yes,good.
Any,16.00-73.00,Any,radio-tv,250.00-18425.00,Any,unemployed,4.00,female-divorced,none,4.00,car,65.00,none,own,2.00,unemployed-non-resident,1.00,yes,yes,good.
Any,4.00-16.00,duly-till-now,domestic-app,250.00-18425.00,Any,one-year,1.00,female-divorced,none,4.00,real-estate,23.00,none,rent,1.00,skilled,1.00,no,yes,good.
Any,4.00-16.00,Any,education,250.00-18425.00,Any,seven-years,4.00,female-divorced,none,2.00,car,61.00,none,own,1.00,skilled,1.00,yes,yes,good.
Any,16.00-73.00,Any,new-car,250.00-18425.00,Any,seven-years,4.00,married-male,none,3.00,building-society,27.00,none,own,2.00,skilled,1.00,no,yes,good.
Any,16.00-73.00,Any,new-car,250.00-18425.00,Any,four-years,4.00,female-divorced,none,4.00,car,37.00,none,own,1.00,skilled,1.00,no,yes,good.
Any,4.00-16.00,Any,radio-tv,250.00-18425.00,Any,seven-years,2.00,single-male,none,1.00,real-estate,42.00,none,own,2.00,unskilled-resident,2.00,yes,yes,good.
less-200DM,16.00-73.00,duly-till-now,radio-tv,250.00-18425.00,Any,seven-years,4.00,single-male,none,4.00,car,24.00,none,rent,1.00,skilled,1.00,yes,yes,good.
less-200DM,4.00-16.00,duly-till-now,radio-tv,250.00-18425.00,Any,four-years,2.00,single-male,guarantor,2.00,real-estate,35.00,none,own,1.00,skilled,1.00,yes,yes,good.
Any,16.00-73.00,Any,others,250.00-18425.00,Any,unemployed,4.00,single-male,co-applicant,2.00,none,27.00,bank,own,2.00,management,1.00,no,yes,good.
Any,4.00-16.00,duly-till-now,furniture,250.00-18425.00,Any,seven-years,1.00,female-divorced,none,4.00,real-estate,33.00,bank,rent,1.00,unskilled-resident,1.00,yes,yes,good.
Any,4.00-16.00,Any,business,250.00-18425.00,Any,four-years,3.00,female-divorced,none,2.00,real-estate,27.00,none,own,2.00,skilled,1.00,yes,yes,good.
Any,4.00-16.00,Any,used-car,250.00-18425.00,Any,one-year,1.00,female-divorced,none,2.00,building-society,46.00,none,own,2.00,unskilled-resident,1.00,yes,yes,good.
Any,16.00-73.00,duly-till-now,new-car,250.00-18425.00,Any,over-seven,4.00,female-divorced,co-applicant,4.00,none,62.00,none,free,1.00,skilled,1.00,no,yes,good.
